Command,Chromosome,Sample_Size,Time_Taken,Memory_Used_MB,Input_file_size
decompress,21,2000,0:36.54,603280,21352536
random_access,21,2000,0:00.11,41852,21352536
random_access,21,2000,0:00.11,41928,21352536
random_access,21,2000,0:00.08,40700,21352536
compress,21,2000,1:34.93,429352,8177780612
decompress,21,2000,0:35.94,614624,21352536
random_access,21,2000,0:00.11,41900,21352536
random_access,21,2000,0:00.12,42008,21352536
random_access,21,2000,0:00.09,40388,21352536
compress,21,2000,1:30.83,417660,8177780612
decompress,21,2000,0:36.48,612004,21352536
random_access,21,2000,0:00.12,41876,21352536
random_access,21,2000,0:00.11,41808,21352536
random_access,21,2000,0:00.08,40464,21352536
compress,21,2500,2:11.69,510040,11179033242
decompress,21,2500,0:48.03,508748,25029352
random_access,21,2500,0:00.05,31132,25029352
random_access,21,2500,0:00.09,32484,25029352
random_access,21,2500,0:00.06,32116,25029352
compress,21,2500,2:02.95,507412,11179033242
decompress,21,2500,0:48.28,499588,25029352
random_access,21,2500,0:00.05,31320,25029352
random_access,21,2500,0:00.08,32468,25029352
random_access,21,2500,0:00.06,32116,25029352
compress,21,2500,2:11.88,502192,11179033242
decompress,21,2500,0:48.27,511800,25029352
random_access,21,2500,0:00.05,31296,25029352
random_access,21,2500,0:00.08,32460,25029352
random_access,21,2500,0:00.06,32064,25029352
compress,20,1,0:01.29,72472,13792742
decompress,20,1,0:01.06,192000,1157758
random_access,20,1,0:00.08,55564,1157758
random_access,20,1,0:00.03,30264,1157758
random_access,20,1,0:00.07,55776,1157758
compress,20,1,0:01.18,70896,13792742
decompress,20,1,0:00.42,188004,1157758
random_access,20,1,0:00.06,55744,1157758
random_access,20,1,0:00.07,30240,1157758
random_access,20,1,0:00.07,55740,1157758
compress,20,1,0:01.25,74396,13792742
decompress,20,1,0:00.45,187684,1157758
random_access,20,1,0:00.06,55652,1157758
random_access,20,1,0:00.05,30240,1157758
random_access,20,1,0:00.07,55836,1157758
compress,20,2,0:01.43,85324,19714481
decompress,20,2,0:00.87,259988,1639558
random_access,20,2,0:00.10,54208,1639558
random_access,20,2,0:00.07,50136,1639558
random_access,20,2,0:00.06,54236,1639558
compress,20,2,0:01.37,81092,19714481
decompress,20,2,0:00.55,259860,1639558
random_access,20,2,0:00.08,54188,1639558
random_access,20,2,0:00.07,49972,1639558
random_access,20,2,0:00.08,54192,1639558
compress,20,2,0:01.57,85344,19714481
decompress,20,2,0:00.57,259496,1639558
random_access,20,2,0:00.08,54316,1639558
random_access,20,2,0:00.08,49884,1639558
random_access,20,2,0:00.09,54128,1639558
compress,20,5,0:01.81,108336,36680939
decompress,20,5,0:00.93,324768,2790236
random_access,20,5,0:00.07,53296,2790236
random_access,20,5,0:00.06,53308,2790236
random_access,20,5,0:00.08,53340,2790236
compress,20,5,0:01.89,102296,36680939
decompress,20,5,0:00.90,316568,2790235
random_access,20,5,0:00.06,53528,2790235
random_access,20,5,0:00.09,53516,2790235
random_access,20,5,0:00.09,53256,2790235
